ACH/USDT,SELL,2025-06-01T13:27:56.631981
ACH/USDT,SELL,2025-06-01T13:37:02.612534
RDNT/USDT,SELL,2025-06-01T13:50:59.390230
ACH/USDT,SELL,2025-06-01T13:53:38.852387
AGLD/USDT,SELL,2025-06-01T13:53:47.231862
AIDOGE/USDT,SELL,2025-06-01T13:53:52.797989
CETUS/USDT,SELL,2025-06-01T13:55:08.193704
DGB/USDT,SELL,2025-06-01T13:55:51.537730
ELON/USDT,SELL,2025-06-01T13:56:15.267774
ICP/USDT,SELL,2025-06-01T13:57:08.152374
ILV/USDT,SELL,2025-06-01T13:57:15.380601
MAJOR/USDT,SELL,2025-06-01T13:58:05.077389
ONT/USDT,SELL,2025-06-01T13:59:07.248601
PERP/USDT,SELL,2025-06-01T13:59:23.818604
RDNT/USDT,SELL,2025-06-01T14:11:12.548236
AIDOGE/USDT,SELL,2025-06-01T14:14:35.295204
BIGTIME/USDT,SELL,2025-06-01T14:17:33.904683
CELO/USDT,SELL,2025-06-01T14:17:53.488120
DIA/USDT,SELL,2025-06-01T14:18:28.943793
DYDX/USDT,SELL,2025-06-01T14:18:38.926956
FLOKI/USDT,SELL,2025-06-01T14:18:57.394918
FLOW/USDT,SELL,2025-06-01T14:19:01.610095
HBAR/USDT,SELL,2025-06-01T14:19:36.518515
JOE/USDT,SELL,2025-06-01T14:20:02.641476
LOOKS/USDT,SELL,2025-06-01T14:20:23.477392
LUNA/USDT,SELL,2025-06-01T14:20:33.745497
METIS/USDT,SELL,2025-06-01T14:20:50.310001
MEW/USDT,SELL,2025-06-01T14:20:55.342840
ONDO/USDT,SELL,2025-06-01T14:21:23.369723
OP/USDT,SELL,2025-06-01T14:21:29.765114
PRCL/USDT,SELL,2025-06-01T14:21:51.730416
PYUSD/USDT,SELL,2025-06-01T14:22:00.610003
RENDER/USDT,SELL,2025-06-01T14:22:09.961596
SNX/USDT,SELL,2025-06-01T14:22:40.327987
X/USDT,SELL,2025-06-01T14:23:40.339704
ZEUS/USDT,SELL,2025-06-01T14:24:01.166256
ZRX/USDT,SELL,2025-06-01T14:24:15.282148
DGB/USDT,SELL,2025-06-01T15:20:06.412081
LUNA/USDT,SELL,2025-06-01T15:33:05.733062
POL/USDT,SELL,2025-06-01T15:41:32.560572
POL/USDT,SELL,2025-06-01T16:04:19.734218
